Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,354,250,6,76,28
2,379,238,8,99,42
16,805,496,16,170,139
12,1066,684,23,222,160
3,1089,681,23,252,156
15,1129,746,27,226,157
11,1461,878,38,404,179
7,2102,1034,63,546,522
19,2265,1188,68,594,483
5,2469,1175,75,644,650
17,2966,1266,102,831,869
18,2964,1295,99,906,763
10,2996,1276,98,813,907
4,3387,1341,125,1112,934
1,3428,1316,126,1003,1109
8,3451,1296,129,1099,1056
14,3643,1344,135,1180,1119
6,3868,1269,142,1273,1326
9,3918,1319,149,1292,1307
